state.lastseen,missing.date,tattoo,scar,color.eyes,color.hair,weight.from,weight.to,height.from,height.to,gender,race,age.from,age.to,id
Oklahoma,1989-02-14,FALSE,TRUE,brown,brown,49.885000000000005,49.885000000000005,160.02,160.02,female,hispanic,16,16,321D
California,1988-06-26,FALSE,TRUE,blue,brown,61.222500000000004,61.222500000000004,157.48000000000002,157.48000000000002,male,white,50,50,322D
Puerto Rico,2008-10-26,FALSE,FALSE,brown,brown,48.978,48.978,152.4,152.4,female,hispanic,13,13,323D
Florida,1996-05-20,FALSE,FALSE,brown,brown,56.6875,61.222500000000004,167.64000000000001,172.72,male,hispanic,17,17,324D
Colorado,2004-06-21,FALSE,FALSE,blue,blonde,86.165,86.165,175.26,175.26,male,white,54,54,325D
Alabama,2005-08-15,FALSE,TRUE,brown,brown,62.583,62.583,167.64000000000001,167.64000000000001,female,white,26,26,326D
North Carolina,2002-07-06,FALSE,FALSE,brown,brown,68.025,68.025,187.96,187.96,male,white,44,44,327D
New Mexico,1997-11-23,TRUE,TRUE,hazel,brown,65.75750000000001,70.2925,154.94,154.94,male,white,18,18,328D
Alabama,2016-09-17,FALSE,TRUE,blue,gray,108.84,111.1075,187.96,187.96,male,white,51,51,329D
Rhode Island,1999-02-07,FALSE,TRUE,brown,black,77.095,77.095,154.94,154.94,male,white,39,39,330D
Colorado,1976-05-30,FALSE,TRUE,brown,brown,68.025,68.025,175.26,175.26,male,white,18,18,331D
Indiana,2000-03-17,FALSE,FALSE,brown,black,83.89750000000001,83.89750000000001,172.72,172.72,male,hispanic,32,32,332D
California,1994-10-07,FALSE,TRUE,green,brown,79.3625,79.3625,154.94,154.94,male,white,22,22,333D
Nevada,2003-04-04,FALSE,FALSE,hazel,red,38.5475,38.5475,162.56,162.56,female,white,13,13,334D
California,1983-05-06,FALSE,FALSE,brown,blond,72.56,74.8275,154.94,154.94,male,white,25,25,335D
Missouri,2001-06-24,TRUE,FALSE,brown,brown,79.816,79.816,182.88,182.88,male,black,34,34,336D
California,1994-07-20,FALSE,TRUE,blue,brown,6.8025,6.8025,63.5,63.5,female,white,8,8,337D
Texas,1988-02-01,FALSE,FALSE,blue,brown,68.025,68.025,154.94,154.94,male,white,45,45,338D
Michigan,1964-08-28,FALSE,FALSE,blue,brown,57.141000000000005,57.141000000000005,170.18,170.18,female,white,28,28,339D
New Mexico,2003-05-26,TRUE,TRUE,brown,brown,81.63,81.63,154.94,154.94,female,hispanic,39,39,340D
New York,1976-11-21,FALSE,FALSE,blue,blond,63.49,63.49,185.42,185.42,male,white,19,19,341D
Pennsylvania,2000-12-02,FALSE,TRUE,green,gray,68.932,68.932,175.26,175.26,male,white,76,76,342D
California,1983-01-22,TRUE,FALSE,green,brown,81.63,81.63,170.18,170.18,male,white,64,64,343D
Alaska,1999-10-20,FALSE,TRUE,brown,black,68.025,68.025,167.64000000000001,167.64000000000001,male,native,33,33,344D
Utah,1985-01-01,FALSE,FALSE,hazel,brown,56.6875,65.75750000000001,170.18,170.18,female,white,24,24,345D
Louisiana,1976-02-19,FALSE,FALSE,brown,brown,49.885000000000005,49.885000000000005,170.18,170.18,female,white,22,22,346D
Alabama,1982-05-26,FALSE,FALSE,brown,brown,52.1525,52.1525,165.1,165.1,female,black,30,30,347D
California,1970-06-23,FALSE,TRUE,brown,"blonde,sandy",70.2925,81.63,154.94,154.94,male,white,26,26,348D
California,1971-04-13,FALSE,FALSE,brown,brown,54.42,56.6875,157.48000000000002,157.48000000000002,female,white,22,22,349D
California,1990-01-03,TRUE,FALSE,brown,black,58.955,58.955,162.56,162.56,male,hispanic,21,21,350D
Florida,1998-12-24,TRUE,TRUE,brown,brown,72.56,95.235,154.94,154.94,male,white,41,41,351D
Texas,2011-10-19,FALSE,FALSE,blue,blonde,63.49,63.49,152.4,152.4,male,white,23,23,352D
California,1990-04-19,FALSE,TRUE,brown,brown,90.7,90.7,154.94,154.94,male,white,21,21,353D
Idaho,1968-08-17,FALSE,FALSE,blue,gray,79.3625,79.3625,154.94,154.94,male,white,66,66,354D
Maine,1975-08-31,FALSE,FALSE,blue,blond,15.8725,15.8725,93.98,93.98,male,white,4,4,355D
California,1998-01-27,FALSE,FALSE,brown,black,68.025,68.025,182.88,182.88,male,white,58,58,356D
California,1992-01-31,FALSE,TRUE,brown,black,63.49,63.49,170.18,170.18,female,black,31,31,357D
Texas,1980-08-01,FALSE,TRUE,brown,brown,45.35,63.49,124.46000000000001,124.46000000000001,female,hispanic,34,34,358D
Tennessee,1999-12-04,FALSE,FALSE,brown,black,70.2925,70.2925,154.94,154.94,male,black,22,22,359D
California,2004-04-26,FALSE,FALSE,brown,gray,56.6875,56.6875,154.94,154.94,male,white,67,67,360D
California,1982-03-13,FALSE,TRUE,brown,black,77.095,77.095,154.94,154.94,male,white,27,27,361D
Illinois,1991-01-01,FALSE,TRUE,brown,black,63.49,63.49,175.26,175.26,male,black,29,29,362D
California,1987-04-09,FALSE,FALSE,brown,black,72.56,72.56,154.94,154.94,male,hispanic,31,31,363D
California,1977-01-17,FALSE,FALSE,blue,brown,74.8275,74.8275,154.94,154.94,male,white,55,55,364D
Maryland,2006-08-02,TRUE,TRUE,brown,brown,77.095,77.095,172.72,172.72,male,white,53,53,365D
California,2003-03-26,FALSE,FALSE,brown,"brown,gold",58.955,63.49,167.64000000000001,170.18,female,black,15,15,366D
Missouri,2007-03-13,TRUE,FALSE,blue,blond,63.49,63.49,167.64000000000001,167.64000000000001,female,white,37,37,367D
California,2001-02-26,FALSE,FALSE,brown,brown,81.63,90.7,193.04,193.04,male,white,23,23,368D
California,2008-06-25,FALSE,FALSE,brown,brown,56.6875,56.6875,162.56,162.56,female,hispanic,15,15,369D
Kansas,2003-08-06,TRUE,TRUE,brown,brown,40.815,45.35,160.02,160.02,female,white,43,43,370D
California,1992-10-10,FALSE,FALSE,blue,brown,65.75750000000001,65.75750000000001,175.26,175.26,male,white,22,22,371D
California,1993-05-08,FALSE,TRUE,hazel,gray,64.8505,64.8505,154.94,154.94,male,white,72,72,372D
Washington,1981-07-19,FALSE,TRUE,blue,gray,81.63,81.63,142.24,142.24,female,white,53,53,373D
California,1992-03-27,FALSE,TRUE,blue,gray,72.56,72.56,154.94,154.94,male,white,74,74,374D
North Carolina,2001-09-13,FALSE,FALSE,brown,red,52.1525,52.1525,160.02,160.02,male,white,39,39,375D
Alabama,1974-08-17,FALSE,FALSE,gray,brown,47.6175,47.6175,162.56,162.56,female,white,69,69,376D
